# Numero de nodos n =4+1 
# [k],[x_k],[f(x_k)],[P_f(x_k)],[|f(x_k)-P_f(x_k)|] 
97 0.078 0.8679802101 0.9741003152 0.1061201051
98 0.089 0.8347071221 0.9663284225 0.1316213004
99 0.1 0.8 0.9575596817 0.1575596817
100 0.111 0.7645113817 0.9478041016 0.1832927199
101 0.122 0.7288098535 0.9370728563 0.2082630028
102 0.133 0.6933730867 0.9253782849 0.2320051982
103 0.144 0.6585879874 0.9127338916 0.2541459042
104 0.155 0.6247559547 0.8991543456 0.2743983909
105 0.166 0.5921013678 0.8846554812 0.2925541135
106 0.177 0.5607817297 0.8692542979 0.3084725682
107 0.188 0.5308982799 0.85296896 0.3220706801
108 0.199 0.5025062499 0.8358187971 0.3333125472
109 0.21 0.4756242568 0.8178243037 0.3422000469
110 0.221 0.4502425682 0.7990071395 0.3487645713
111 0.232 0.4263301501 0.7793901292 0.3530599792
112 0.243 0.4038405234 0.7589972626 0.3551567392
113 0.254 0.3827165219 0.7378536945 0.3551371726
114 0.265 0.3628940803 0.7159857448 0.3530916645
115 0.276 0.3443051921 0.6934208985 0.3491157063
116 0.287 0.3268801739 0.6701878056 0.3433076317
117 0.298 0.3105493618 0.6463162812 0.3357669194
118 0.309 0.2952443516 0.6218373056 0.326592954
119 0.32 0.2808988764 0.5967830239 0.3158841475
120 0.331 0.2674494019 0.5711867464 0.3037373445
121 0.342 0.2548355037 0.5450829486 0.2902474449
122 0.353 0.243000079 0.5185072708 0.2755071919
123 0.364 0.2318894351 0.4914965186 0.2596070835
124 0.375 0.2214532872 0.4640886625 0.2426353754
125 0.386 0.2116446909 0.4363228382 0.2246781474
126 0.397 0.2024199303 0.4082393464 0.2058194162
127 0.408 0.1937383757 0.3798796528 0.1861412771
128 0.419 0.1855623234 0.3512863883 0.1657240649
129 0.43 0.1778568253 0.3225033488 0.1446465236
130 0.441 0.1705895147 0.2935754952 0.1229859805
131 0.452 0.1637304342 0.2645489536 0.1008185194
132 0.463 0.1572518664 0.2354710151 0.07821914874
133 0.474 0.1511281718 0.2063901359 0.05526196406
134 0.485 0.1453356345 0.1773559371 0.0320203026
135 0.496 0.139852316 0.1484192051 0.008566889138
136 0.507 0.1346579184 0.1196318913 0.01502602714
137 0.518 0.1297336568 0.09104711199 0.03868654481
138 0.529 0.1250621403 0.06271914881 0.06234299144
139 0.54 0.1206272618 0.03470344828 0.08592381349
140 0.551 0.1164140966 0.007056622019 0.1093574746
141 0.562 0.1124088084 -0.02016355326 0.1325723616
142 0.573 0.1085985627 -0.04689813581 0.1554966985
143 0.584 0.1049714478 -0.07308701878 0.1780584665
144 0.595 0.1015164012 -0.09866893029 0.2001853315
145 0.606 0.09822314334 -0.1235814334 0.2218045767
146 0.617 0.09508211529 -0.147760926 0.2428430413
147 0.628 0.092084423 -0.1711426411 0.2632270641
148 0.639 0.08922178528 -0.1936606464 0.2828824317
